Country,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Code,Annual CO₂ emissions
Albania,Maize,1990,36613,1485.0,121.0,16.37,ALB,5520602.0
Albania,Potatoes,1990,66667,1485.0,121.0,16.37,ALB,5520602.0
Albania,Maize,1991,29068,1485.0,121.0,15.36,ALB,4290226.0
Albania,Potatoes,1991,77818,1485.0,121.0,15.36,ALB,4290226.0
Albania,Maize,1992,24876,1485.0,121.0,16.06,ALB,2517116.0
Albania,Potatoes,1992,82920,1485.0,121.0,16.06,ALB,2517116.0
Albania,Maize,1993,24185,1485.0,121.0,16.05,ALB,2337999.0
Albania,Potatoes,1993,98446,1485.0,121.0,16.05,ALB,2337999.0
Albania,Maize,1994,25848,1485.0,201.0,16.96,ALB,1923806.0
Albania,Potatoes,1994,81404,1485.0,201.0,16.96,ALB,1923806.0
Albania,Maize,1995,31300,1485.0,251.0,15.67,ALB,2089065.1
Albania,Potatoes,1995,111323,1485.0,251.0,15.67,ALB,2089065.1
Albania,Maize,1996,32604,1485.0,313.96,15.64,ALB,2017508.0
Albania,Potatoes,1996,106138,1485.0,313.96,15.64,ALB,2017508.0
Albania,Maize,1997,31862,1485.0,376.93,15.9,ALB,1543009.0
Albania,Potatoes,1997,109874,1485.0,376.93,15.9,ALB,1543009.0
Albania,Maize,1998,33416,1485.0,439.89,16.27,ALB,1754709.0
Albania,Potatoes,1998,127212,1485.0,439.89,16.27,ALB,1754709.0
Albania,Maize,1999,37455,1485.0,502.86,16.57,ALB,2986196.0
Albania,Potatoes,1999,142018,1485.0,502.86,16.57,ALB,2986196.0
Albania,Maize,2000,38811,1485.0,565.82,16.67,ALB,3024926.0
Albania,Potatoes,2000,141228,1485.0,565.82,16.67,ALB,3024926.0
Albania,Maize,2001,38135,1485.0,628.79,16.59,ALB,3220656.0
Albania,Potatoes,2001,148818,1485.0,628.79,16.59,ALB,3220656.0
Albania,Maize,2002,39460,1485.0,691.75,16.47,ALB,3748272.0
Albania,Potatoes,2002,153868,1485.0,691.75,16.47,ALB,3748272.0
Albania,Maize,2004,46197,1485.0,817.68,16.16,ALB,4176684.0
Albania,Potatoes,2004,149346,1485.0,817.68,16.16,ALB,4176684.0
Albania,Maize,2005,45442,1485.0,880.64,15.67,ALB,4261413.0
Albania,Potatoes,2005,167061,1485.0,880.64,15.67,ALB,4261413.0
Albania,Maize,2006,50111,1485.0,943.61,15.92,ALB,3910715.0
Albania,Potatoes,2006,170745,1485.0,943.61,15.92,ALB,3910715.0
Albania,Maize,2007,46732,1485.0,1006.57,16.67,ALB,3948970.0
Albania,Potatoes,2007,188902,1485.0,1006.57,16.67,ALB,3948970.0
